              sh-3635  [006] .....   934.485569: funcgraph_entry:                   |                kmem_cache_alloc() {
              sh-3635  [006] .....   934.485570: funcgraph_entry:                   |                  __cond_resched() {
              sh-3635  [006] .....   934.485570: funcgraph_entry:        0.083 us   |                    rcu_all_qs();
              sh-3635  [006] .....   934.485570: funcgraph_exit:         0.292 us   |                  }
              sh-3635  [006] .....   934.485570: funcgraph_entry:        0.125 us   |                  should_failslab();
              sh-3635  [006] .....   934.485570: funcgraph_exit:         0.625 us   |                }
              sh-3635  [006] .....   934.485570: funcgraph_entry:                   |                apparmor_file_alloc_security() {
              sh-3635  [006] .....   934.485570: funcgraph_entry:                   |                  __cond_resched() {
              sh-3635  [006] .....   934.485570: funcgraph_entry:        0.083 us   |                    rcu_all_qs();
              sh-3635  [006] .....   934.485571: funcgraph_exit:         0.291 us   |                  }
              sh-3635  [006] .....   934.485571: funcgraph_exit:         0.459 us   |                }
              sh-3635  [006] .....   934.485571: funcgraph_entry:        0.125 us   |                bpf_lsm_file_alloc_security();
              sh-3635  [006] .....   934.485571: funcgraph_exit:         1.541 us   |              }
              sh-3635  [006] .....   934.485571: funcgraph_entry:        0.083 us   |              __mutex_init();
              sh-3635  [006] .....   934.485571: funcgraph_exit:         3.125 us   |            }
              sh-3635  [006] .....   934.485571: funcgraph_exit:         3.292 us   |          }
              sh-3635  [006] .....   934.485571: funcgraph_entry:                   |          path_init() {
              sh-3635  [006] .....   934.485571: funcgraph_entry:                   |            nd_jump_root() {
              sh-3635  [006] .....   934.485571: funcgraph_entry:        0.083 us   |              set_root();
              sh-3635  [006] .....   934.485572: funcgraph_exit:         0.250 us   |            }
              sh-3635  [006] .....   934.485572: funcgraph_exit:         0.458 us   |          }
              sh-3635  [006] .....   934.485572: funcgraph_entry:                   |          link_path_walk.part.0.constprop.0() {
              sh-3635  [006] .....   934.485572: funcgraph_entry:                   |            inode_permission() {
              sh-3635  [006] .....   934.485572: funcgraph_entry:                   |              generic_permission() {
              sh-3635  [006] .....   934.485572: funcgraph_entry:        0.083 us   |                get_cached_acl_rcu();
              sh-3635  [006] .....   934.485572: funcgraph_exit:         0.250 us   |              }
              sh-3635  [006] .....   934.485572: funcgraph_entry:                   |              security_inode_permission() {
              sh-3635  [006] .....   934.485572: funcgraph_entry:        0.125 us   |                bpf_lsm_inode_permission();
              sh-3635  [006] .....   934.485573: funcgraph_exit:         0.291 us   |              }
              sh-3635  [006] .....   934.485573: funcgraph_exit:         0.792 us   |            }
              sh-3635  [006] .....   934.485573: funcgraph_entry:                   |            walk_component() {
              sh-3635  [006] .....   934.485573: funcgraph_entry:                   |              lookup_fast() {
              sh-3635  [006] .....   934.485573: funcgraph_entry:        0.208 us   |                __d_lookup_rcu();
              sh-3635  [006] .....   934.485573: funcgraph_exit:         0.375 us   |              }
              sh-3635  [006] .....   934.485573: funcgraph_entry:                   |              step_into() {
              sh-3635  [006] .....   934.485573: funcgraph_entry:                   |                atime_needs_update() {
              sh-3635  [006] .....   934.485574: funcgraph_entry:                   |                  current_time() {
              sh-3635  [006] .....   934.485574: funcgraph_entry:        0.125 us   |                    ktime_get_coarse_real_ts64();
              sh-3635  [006] .....   934.485574: funcgraph_entry:        0.083 us   |                    timestamp_truncate();
              sh-3635  [006] .....   934.485574: funcgraph_exit:         0.458 us   |                  }
              sh-3635  [006] .....   934.485574: funcgraph_exit:         0.667 us   |                }
              sh-3635  [006] .....   934.485574: funcgraph_entry:                   |                security_inode_follow_link() {
              sh-3635  [006] .....   934.485574: funcgraph_entry:        0.125 us   |                  bpf_lsm_inode_follow_link();
              sh-3635  [006] .....   934.485574: funcgraph_exit:         0.292 us   |                }
              sh-3635  [006] .....   934.485575: funcgraph_exit:         1.208 us   |              }
              sh-3635  [006] .....   934.485575: funcgraph_exit:         1.833 us   |            }
              sh-3635  [006] .....   934.485575: funcgraph_entry:                   |            inode_permission() {
              sh-3635  [006] .....   934.485575: funcgraph_entry:                   |              generic_permission() {
              sh-3635  [006] .....   934.485575: funcgraph_entry:        0.084 us   |                get_cached_acl_rcu();
              sh-3635  [006] .....   934.485575: funcgraph_exit:         0.250 us   |              }
              sh-3635  [006] .....   934.485575: funcgraph_entry:                   |              security_inode_permission() {
              sh-3635  [006] .....   934.485575: funcgraph_entry:        0.083 us   |                bpf_lsm_inode_permission();
              sh-3635  [006] .....   934.485576: funcgraph_exit:         0.250 us   |              }
              sh-3635  [006] .....   934.485576: funcgraph_exit:         0.750 us   |            }
              sh-3635  [006] .....   934.485576: funcgraph_entry:                   |            walk_component() {
              sh-3635  [006] .....   934.485576: funcgraph_entry:                   |              lookup_fast() {
              sh-3635  [006] .....   934.485576: funcgraph_entry:        0.166 us   |                __d_lookup_rcu();
              sh-3635  [006] .....   934.485576: funcgraph_exit:         0.334 us   |              }
              sh-3635  [006] .....   934.485576: funcgraph_entry:                   |              step_into() {
              sh-3635  [006] .....   934.485576: funcgraph_entry:        0.125 us   |                __lookup_mnt();
              sh-3635  [006] .....   934.485576: funcgraph_exit:         0.292 us   |              }
              sh-3635  [006] .....   934.485577: funcgraph_exit:         0.875 us   |            }
              sh-3635  [006] .....   934.485577: funcgraph_entry:                   |            inode_permission() {
              sh-3635  [006] .....   934.485577: funcgraph_entry:                   |              generic_permission() {
              sh-3635  [006] .....   934.485577: funcgraph_entry:        0.125 us   |                get_cached_acl_rcu();
              sh-3635  [006] .....   934.485577: funcgraph_exit:         0.292 us   |              }
              sh-3635  [006] .....   934.485577: funcgraph_entry:                   |              security_inode_permission() {
              sh-3635  [006] .....   934.485577: funcgraph_entry:        0.083 us   |                bpf_lsm_inode_permission();
              sh-3635  [006] .....   934.485577: funcgraph_exit:         0.250 us   |              }
              sh-3635  [006] .....   934.485577: funcgraph_exit:         0.792 us   |            }
              sh-3635  [006] .....   934.485578: funcgraph_entry:                   |            walk_component() {
              sh-3635  [006] .....   934.485578: funcgraph_entry:                   |              lookup_fast() {
              sh-3635  [006] .....   934.485578: funcgraph_entry:        0.125 us   |                __d_lookup_rcu();
              sh-3635  [006] .....   934.485578: funcgraph_exit:         0.334 us   |              }
              sh-3635  [006] .....   934.485578: funcgraph_entry:        0.083 us   |              step_into();
              sh-3635  [006] .....   934.485578: funcgraph_exit:         0.667 us   |            }
              sh-3635  [006] .....   934.485578: funcgraph_entry:                   |            inode_permission() {
              sh-3635  [006] .....   934.485578: funcgraph_entry:                   |              generic_permission() {
              sh-3635  [006] .....   934.485579: funcgraph_entry:        0.084 us   |                get_cached_acl_rcu();
              sh-3635  [006] .....   934.485579: funcgraph_exit:         0.250 us   |              }
              sh-3635  [006] .....   934.485579: funcgraph_entry:                   |              security_inode_permission() {
              sh-3635  [006] .....   934.485579: funcgraph_entry:        0.083 us   |                bpf_lsm_inode_permission();
              sh-3635  [006] .....   934.485579: funcgraph_exit:         0.250 us   |              }
              sh-3635  [006] .....   934.485579: funcgraph_exit:         0.792 us   |            }
              sh-3635  [006] .....   934.485579: funcgraph_entry:                   |            walk_component() {
              sh-3635  [006] .....   934.485579: funcgraph_entry:                   |              lookup_fast() {
              sh-3635  [006] .....   934.485579: funcgraph_entry:        0.125 us   |                __d_lookup_rcu();
              sh-3635  [006] .....   934.485580: funcgraph_exit:         0.292 us   |              }
              sh-3635  [006] .....   934.485580: funcgraph_entry:        0.083 us   |              step_into();
              sh-3635  [006] .....   934.485580: funcgraph_exit:         0.625 us   |            }
              sh-3635  [006] .....   934.485580: funcgraph_entry:                   |            inode_permission() {
              sh-3635  [006] .....   934.485580: funcgraph_entry:                   |              generic_permission() {
              sh-3635  [006] .....   934.485580: funcgraph_entry:        0.083 us   |                get_cached_acl_rcu();
              sh-3635  [006] .....   934.485580: funcgraph_exit:         0.292 us   |              }
              sh-3635  [006] .....   934.485580: funcgraph_entry:                   |              security_inode_permission() {
              sh-3635  [006] .....   934.485580: funcgraph_entry:        0.125 us   |                bpf_lsm_inode_permission();
              sh-3635  [006] .....   934.485581: funcgraph_exit:         0.291 us   |              }
              sh-3635  [006] .....   934.485581: funcgraph_exit:         0.792 us   |            }
              sh-3635  [006] .....   934.485581: funcgraph_exit:         8.958 us   |          }
              sh-3635  [006] .....   934.485581: funcgraph_entry:                   |          lookup_fast() {
              sh-3635  [006] .....   934.485581: funcgraph_entry:        0.416 us   |            __d_lookup_rcu();
              sh-3635  [006] .....   934.485581: funcgraph_exit:         0.584 us   |          }
              sh-3635  [006] .....   934.485582: funcgraph_entry:        0.083 us   |          step_into();
              sh-3635  [006] .....   934.485582: funcgraph_entry:                   |          complete_walk() {
              sh-3635  [006] .....   934.485582: funcgraph_entry:                   |            try_to_unlazy() {
